offsetRange,pitchSet,oct_list_set,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]"
147.0 to 147.875,[0],"['C3', 'C4', 'C5']","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
148.0 to 148.75,"[0, 7]","['C4', 'C5', 'G2']","[2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
149.0 to 149.0,[0],['C3'],"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
150.0 to 150.875,"[1, 4, 7, 9]","['A3', 'C#4', 'E4', 'G5']","[0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]"
151.0 to 151.875,"[1, 4, 7, 9]","['A3', 'C#4', 'E4', 'G4', 'G5']","[0, 1, 0, 0, 1, 0, 0, 2, 0, 1, 0, 0]"
152.0 to 152.875,"[1, 4, 7, 9]","['A3', 'C#4', 'E4', 'E6', 'G4', 'G5']","[0, 1, 0, 0, 2, 0, 0, 2, 0, 1, 0, 0]"
153.0 to 153.875,"[2, 5, 9]","['A4', 'D3', 'D4', 'F4', 'F5']","[0, 0, 2, 0, 0, 2, 0, 0, 0, 1, 0, 0]"
154.0 to 154.5,"[2, 4, 5, 7]","['D4', 'E4', 'F4', 'G4']","[0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0]"
155.0 to 155.5,"[1, 2, 4, 5]","['C#4', 'D4', 'E4', 'F4']","[0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
156.0 to 156.875,"[2, 5, 7, 11]","['B3', 'D4', 'F5', 'G3']","[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1]"
157.0 to 157.875,"[2, 5, 7, 11]","['B3', 'D4', 'F4', 'F5', 'G3']","[0, 0, 1, 0, 0, 2, 0, 1, 0, 0, 0, 1]"
158.0 to 158.875,"[2, 5, 7, 11]","['B3', 'D4', 'D6', 'F4', 'F5', 'G3']","[0, 0, 2, 0, 0, 2, 0, 1, 0, 0, 0, 1]"
159.0 to 159.875,"[0, 4, 7]","['C3', 'C4', 'E4', 'E5', 'G4']","[2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]"
160.0 to 160.5,"[0, 2, 4, 5]","['C4', 'D4', 'E4', 'F4']","[1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
161.0 to 161.5,"[0, 2, 4, 11]","['B3', 'C4', 'D4', 'E4']","[1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
162.0 to 162.0,[9],['A5'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
163.0 to 163.875,"[0, 5, 9, 11]","['A5', 'B5', 'C5', 'C6', 'F3', 'F4']","[2, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 1]"
164.0 to 164.0,"[0, 4, 7]","['C5', 'E3', 'E4', 'G5']","[1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]"
165.0 to 165.0,[5],['F5'],"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
166.0 to 166.875,"[2, 5, 7, 9, 11]","['A5', 'B4', 'D3', 'D4', 'F5', 'G5']","[0, 0, 2, 0, 0, 1, 0, 1, 0, 1, 0, 1]"
167.0 to 167.0,"[0, 4]","['C3', 'C4', 'C5', 'E5']","[3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
168.0 to 168.875,"[2, 4, 5, 9]","['A4', 'D5', 'E5', 'F3', 'F4']","[0, 0, 1, 0, 1, 2, 0, 0, 0, 1, 0, 0]"
